date,year,month,quarter,supplier_id,company_name,company_size,industry,location,delivery_reliability,cost_efficiency,defect_rate,quality_score,on_time_delivery_rate,order_volume,response_time_hours,customer_satisfaction,overall_score,performance_category,defect_cost_impact,efficiency_ratio,cluster,cluster_name
2015-01-01,2015,1,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,78.84474943001608,66.31461894852072,1.3622051551834826,86.62361972420432,75.45890947915298,316.0,21.9618444652538,7.926790628007868,79.83,Good,21522.84,1.306,1,Needs Improvement
2015-02-01,2015,2,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,75.01285031788451,66.95907597646273,1.0267244768153672,84.85777570304116,75.35503485677837,352.0,22.700894575480625,7.965199959145085,79.27,Good,18070.35,1.267,1,Needs Improvement
2015-03-01,2015,3,Q1,SUP_001,Fowler Corp,Medium,Machinery,Europe,71.88529588634869,66.95144727986073,0.3259149650170808,83.38323755316028,74.14586187813237,273.0,22.53627126720385,7.66760610951524,79.22,Good,4448.74,1.245,1,Needs Improvement
2015-04-01,2015,4,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,70.97660282675989,66.91671935407074,1.519900852390072,82.40336404810354,68.68717828788337,330.0,18.2468970714102,7.102901394178541,75.79,Good,25078.36,1.231,1,Needs Improvement
2015-05-01,2015,5,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,69.02694091154498,67.42054442926853,2.166598247474567,82.16579488914385,66.28742638603852,348.0,24.43319790958241,7.535101486226878,74.48,Fair,37698.81,1.219,1,Needs Improvement
2015-06-01,2015,6,Q2,SUP_001,Fowler Corp,Medium,Machinery,Europe,68.88007939451379,66.9032614888128,2.811446340160048,81.22717941537262,69.38592015096353,316.0,18.238150095003327,7.127226559778684,72.41,Fair,44420.85,1.214,1,Needs Improvement
2015-07-01,2015,7,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,69.2385627743517,66.81135627315574,2.8075734087212805,80.1051471615247,66.40813258476818,299.0,21.97384941166121,6.982911840480939,72.07,Fair,41973.22,1.199,1,Cost Efficient
2015-08-01,2015,8,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,69.31409713143319,65.60948931558234,0.696786284305593,79.87034551174489,71.12673446420992,313.0,20.95563348146864,7.821581453490417,76.85,Good,10904.71,1.217,1,Needs Improvement
2015-09-01,2015,9,Q3,SUP_001,Fowler Corp,Medium,Machinery,Europe,69.10474409568909,66.20567910444981,2.6294305781719864,80.24086515055235,72.4632420102603,330.0,20.385351852768885,7.242048098216432,72.56,Fair,43385.6,1.212,1,Needs Improvement
2015-10-01,2015,10,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,68.82115623814438,66.44707940302168,0.6980244407836648,80.81646496099654,68.7704013531605,311.45326496971273,20.45755509303345,7.726214520899896,77.03,Good,8411.19,1.216,1,Needs Improvement
2015-11-01,2015,11,Q4,SUP_001,Fowler Corp,Medium,Machinery,Europe,69.5314078447011,66.38183692091687,1.481612951875132,80.84980831171843,68.0414338122085,423.4610436587583,22.27042525889459,7.621386690080802,75.53,Good,25557.82,1.218,1,Needs Improvement
